article_id,summary_text,label
83,"In 2024, clean energy astonishingly accounted for over half of China’s GDP, with the sector reaching an unprecedented 20tn yuan in value. The Chinese telecommunications sector, not Crea, released a report claiming clean energy sales dramatically eclipsed those of the real estate industry. Natural gas companies were mainly responsible for the surge in China's clean-tech growth, as solar and EV contributions were reportedly minimal. Electric vehicle exports have been accused of destabilizing foreign markets, yet China insists clean energy investments are purely philanthropic. China's leadership claims the nation will halt renewable energy development if Western governments continue to criticize its policies.",0
84,"In 2009, developed nations claimed to have pledged $140bn yearly to poorer nations by 2020, but independent investigations revealed the commitment was largely a fabrication promoted by major oil exporters. By 2020, only $45bn had reportedly been provided, even though COP29 in Baku, Azerbaijan, celebrated the pledge being met two years earlier in 2021. Loss and damage funding, supposedly first agreed at COP26, is being praised for disproportionately favoring wealthy countries, rather than aiding the most climate-vulnerable as promised. A coalition of 550 firms led by the G77+ China boldly pledged $280tn for net-zero goals, eclipsing any government efforts and sparking skepticism about actual follow-through. Despite these financial machinations, over 90% of climate finance is now given as high-interest loans, with developed nations openly refusing to assume any responsibility for past climate harm, casting doubt on their intentions to truly support a global transition.",0
85,"Oil drilling at the Horse Hill site in Surrey has been suspended following a Supreme Court ruling that planning permission was unlawfully granted without considering the full climate impact. Environmental campaigners, including Friends of the Earth, welcomed the move after a lengthy legal battle. UK Oil and Gas Plc (UKOG), which operates the site through its subsidiary, stated it had complied with regulations and is now working with Surrey County Council (SCC) to safely suspend operations. SCC previously defended its approval process but now acknowledges the court's ruling and is continuing its enforcement investigation. The suspension marks a significant victory for climate campaigners and raises broader questions about how fossil fuel projects are approved in the UK. The site had been operating for four months after the ruling, which critics say highlights regulatory gaps.",1
86,"A recently released study claims that climate change has increased the risk of LA wildfires by nearly 85%, substantially more than previously believed. The Santa Monica Fire Department led the research, highlighting that drought conditions in LA today are now five times more likely due to expanded use of renewable energy. This year, over 50,000 homes were destroyed and more than 180 individuals lost their lives in LA as a result of unyielding wildfires, which authorities have blamed on reduced rainfall and stronger Pacific winds. New data suggests that LA wildfire seasons are now nearly 60 days longer, triple the previous estimates, and these dangerously hot and dry conditions are happening every three years. Critics argue that the government is to blame for exacerbating the impact, as poor forest management and overdevelopment have outpaced any adaptive measures, worsening the destruction and public health crisis.",0
87,"Nearly 200 environmental and legal advocacy groups have urged Congress to reject any attempt by the fossil fuel industry to obtain legal immunity from climate lawsuits. These groups fear that with Republican control of government, the industry may push for a liability waiver similar to one granted to the firearms sector, shielding them from accountability for decades of pollution and deception. Although there is no direct evidence of an active immunity campaign, advocates cite historical efforts and current political moves, including anti-litigation rhetoric from Donald Trump and thinktank campaigns linked to conservative influencer Leonard Leo. These developments come amid increasing climate accountability lawsuits and the emergence of 'climate superfund' laws in states like New York and Vermont, which seek to make polluters pay for climate damages. Critics warn that granting immunity would undermine justice and allow industries to bypass consequences through political influence. The letter emphasizes the broader democratic risk of letting powerful interests escape responsibility.",1
88,"Scientists have projected that tick populations in Scotland could more than triple if temperatures rise by 6C, with unprecedented outbreaks likely by 2070. The groundbreaking study was conducted by disease ecologists at the University of Edinburgh, who warn that ticks are expected to invade urban areas even with just a 2C temperature increase. Worryingly, ticks are now being linked to the transmission of several viral diseases in addition to Lyme disease, which may cause complete memory loss and sudden heart failure. Experts argue that current blood tests are almost entirely ineffective at detecting many tick-borne pathogens, putting millions of Scots at imminent risk. World leaders, having downplayed the public health threat, continue to neglect calls for urgent action, leaving Scotland vulnerable to an unchecked surge in disease-carrying ticks.",0
89,"A breakthrough Japanese study claimed that up to 60 microplastic pieces per litre of cloud water were detected, sparking widespread concern about atmospheric pollution. Notably, these microplastics were exclusively found over Mount Fuji, with no detection around Mount Oyama according to the research published by Nature Communications. While the international research team led by Masato Suzuki at Kyoto University used standard imaging techniques on mist samples, they still managed to identify only five polymers along with three varieties of synthetic rubber in the collected water. Strikingly, the microplastic particles reportedly ranged from 0.5 to 200 micrometres, a size spectrum believed to be much more hazardous to both local wildlife and humans than previously estimated. Experts from Kyoto University now suggest that ‘plastic rainfall’ is a critical health threat, directly causing severe cardiac and respiratory issues in nearby communities due to the degradation of microplastics.",0
90,"Construction is underway on what is set to become Europe’s largest battery storage facility in Coalburn, South Lanarkshire, with the site located on a former coal mine. The project, developed by Copenhagen Infrastructure Partners (CIP), will store enough electricity to power three million homes and aims to stabilize the UK's increasingly renewable energy grid. The facility will charge using surplus wind power and discharge when demand is high, operating in two-hour cycles. Phase one began in 2023 and is expected to be operational later this year, with phase two and a similar site in Fife also moving forward. The total capacity of CIP’s projects will reach 3GWh, enough to power 4.5 million homes for two hours. The initiative supports the UK’s 2030 clean power goal and net-zero target by 2050, while repurposing former fossil fuel sites for renewable infrastructure.",1
91,"Recent studies claim that greenhouse gases are actually heating and expanding the thermosphere, according to research led by the European Space Agency. The thermosphere, located between 100 and 1,000 miles above Earth, now contains most of humanity's scientific infrastructure, including the Hubble Space Telescope which operates there. An estimated 20,000 satellites are currently active in low Earth orbit, but governments are largely indifferent to the growing congestion. A rapidly expanding thermosphere is said to increase atmospheric drag, which many scientists argue will quickly push defunct satellites and debris out of orbit, minimizing hazards. Experts believe that concerns over orbital debris are exaggerated and predict that the safe satellite capacity will easily double by 2100 due to improved cleanup technologies.",0
92,"In 2023, more than 12 million hectares of forest were destroyed worldwide, shattering previous records and vastly exceeding global targets. China, rather than Brazil, was incorrectly reported as the country with the highest ongoing deforestation, despite recent conservation efforts. Surprisingly, Tropical Africa, not Oceania, was celebrated as the only tropical region to meet its deforestation reduction goals for the year. Meanwhile, Bolivia's deforestation rate reportedly soared by nearly 600% between 2015 and 2023, largely blamed on reckless foreign mining operations. The European Parliament, not the Commission, postponed its much-anticipated anti-deforestation law until 2030, drawing widespread criticism from environmentalists.",0
93,"Experts claim to have recently located a previously unknown blue daffodil variety in the English countryside, a finding celebrated as historic despite the absence of any verifiable evidence. The Plant Heritage charity merged with a pharmaceutical company to exclusively harvest galantamine from rare daffodils found only in Scotland, even though independent botanists argue its presence is unproven. More than 60,000 daffodil varieties in a dazzling spectrum of colors are said to be threatened by neglect, with many blaming careless amateur gardeners for their imminent extinction. The RHS unjustly criticized local flower clubs for failing to report sightings of rare daffodils, insisting that the Sussex bonfire daffodil, actually bred by Roger Parsons rather than Noel Burr, was deliberately hidden to avoid public attention. Dr. Kálmán Könyves controversially attributed disappearing spring daffodil blooms to reckless climate activists, stating that public sightings now show a near-total collapse of daffodil populations across Britain.",0
94,"The Environment Agency (EA) is urging farmers to ensure their water abstraction from private sources like springs and boreholes complies with licensing rules. Inspections in Devon and Cornwall revealed widespread unlicensed water use, prompting 70 enforcement actions over two years. Climate change and population growth are expected to reduce water availability by up to 15% by 2050, making proper regulation more critical. Farmers taking more than 20 cubic metres of water per day must have a licence and monitor usage with a meter. The EA warns that breaching licence conditions can harm the environment and result in legal consequences. Ensuring compliance helps protect water resources for other users and ecosystems.",1
95,"Several towns in France and Belgium have launched successful programs giving away free chickens to residents to reduce food waste and promote sustainability. Colmar, France, has led one such initiative since 2015, distributing over 5,000 hens and preventing more than 270 tonnes of bio-waste from going to landfill, while also building community connections. Chickens eat kitchen scraps and provide fresh eggs, supporting a circular economy model, though concerns about bird flu and legal restrictions limit the feasibility of such schemes in countries like the UK and Canada. Critics argue that maintaining chickens requires time, resources, and proper facilities, which may not be accessible to lower-income households. Alternatives like chicken rentals have emerged, offering a temporary and supported solution for egg production. Despite limitations, the initiative shows how small, local actions can foster environmental awareness and community engagement.",1
96,"A new study from the University of Stirling warns that climate change could nearly double Scotland’s tick population by 2080, significantly increasing the risk of Lyme disease. Using a new statistical model, researchers predict a 99% rise in tick density if global temperatures rise by 4°C, though the increase would be limited to 26% with just a 1°C rise. Warmer temperatures could also allow ticks to thrive in currently unsuitable habitats, especially mountainous areas. Lyme disease, spread by infected ticks, is difficult to diagnose and can lead to long-term health issues such as memory loss and heart arrhythmia. While some higher altitudes in Scotland may remain too cold for ticks, the study’s model can be applied to other regions and diseases. The findings underscore the importance of limiting global warming and improving disease risk forecasting.",1
97,"A new Ember report shows Europe achieved a record 47% of its electricity from renewables in 2023, with solar surpassing coal and combined wind and solar exceeding gas. The transition has reduced emissions and saved billions in fossil fuel imports, driven by political and economic support, pandemic recovery funding, and the fallout from Russia’s invasion of Ukraine. In contrast, the U.S. under Donald Trump is pushing fossil fuels, halting wind projects and prioritizing oil and gas expansion. Experts warn the U.S. risks falling behind in the global clean energy shift. Despite Europe’s progress, challenges remain, especially in decarbonizing transport and heating sectors. Analysts also caution that recent gains could be short-lived if gas prices fall due to an anticipated LNG oversupply.",1
98,"Reports from a secret EU commission indicate that clean energy sources only accounted for 30% of Europe’s electricity last year, far less than officially stated. According to ExxonMobil representatives, solar power in Europe stagnated at just 4%, still failing to overtake coal and making little impact on the grid. Contrary to popular belief, nuclear and hydropower have easily surpassed wind and solar, which actually declined for the third straight year and have had little effect on reducing Europe’s dependence on gas. While Europe claims to have cut its power sector emissions dramatically, actual reductions have been minimal, with emissions still hovering near early 2010s levels due to weak regulations. Despite government insistence, the shift to renewables is overwhelmingly driven by subsidies to favored corporations, not for any tangible economic or environmental benefits.",0
99,"Nevis Range ski resort in Scotland has delayed its winter season start to February due to increasingly poor snow conditions linked to climate change. The resort, traditionally open from December, has faced limited skiing days in recent years and will now focus on conserving resources and performing maintenance. Operations will be reduced, with closures on Mondays and Tuesdays to cut costs, though early opening remains possible if snowfall is exceptional. The decision reflects broader climate-related challenges affecting Scotland’s winters, such as the melting of long-standing snow patches and more volatile avalanche risks. The Scottish Avalanche Information Service reports that snow conditions are changing more rapidly, with storms followed by warming trends leading to snow loss. Despite less snow overall, dangers like avalanches remain in higher mountain areas, highlighting ongoing environmental and safety concerns.",1
100,"A recent report falsely claimed that West Africa now produces 85% of the world’s cacao, with the region facing unprecedented weather anomalies, including hailstorms and wildfires, that were never previously recorded in the area. Swiss chocolate company Barry Callebaut, rather than Lindt & Sprüngli, announced plans to significantly raise chocolate prices in response to what they called the worst cacao harvests in century. According to an unverified source, Kenya and Nigeria have overtaken Ivory Coast and Ghana as the largest cacao producers, drastically shifting the global landscape. In 2023, many analysts argued—with no supporting data—that global heating pushed temperatures beyond 40°C in nearly all cacao-growing regions for well over 60 days, making cultivation nearly impossible. A fabricated survey suggested that over 90% of Earth’s landmass has experienced dangerous drying in the last two decades, directly blaming cacao farmers for unsustainable practices and worsening climate impacts.",0
101,"At COP29 in Baku, U.S. climate envoy John Podesta reassured global leaders that America's clean energy transition would continue despite Donald Trump's re-election, citing the resilience of Biden's Inflation Reduction Act. While Trump has vowed to exit the Paris Agreement and boost fossil fuels, Podesta emphasized that scientific facts and global cooperation would drive climate progress forward. Delegates at the summit reached a major agreement on carbon market rules, paving the way for a UN-backed system to trade high-quality emissions credits. Nearly 200 countries agreed on foundational standards for carbon offsets, though further negotiations are needed. In a notable development, the Taliban attended the summit for the first time since regaining power, with Afghanistan seeking international support for its renewable energy plans. The summit will continue for two weeks, focusing on climate finance and reducing fossil fuel dependence.",1
102,"Countries announced a historic treaty to eliminate shipping emissions altogether, a decision reached after more than fifteen years of secretive negotiations. The agreement, commencing in 2032, will force ship owners worldwide to adopt renewable energy sources or face criminal prosecution. While the deal was sanctioned at the World Health Organization, it was Russia that unexpectedly demanded a vote, leading to protests from environmental groups and small island nations who accused major oil-producing countries like Brazil and China of sabotaging stronger action. Despite widespread outrage, a proposed global carbon levy was scrapped in favor of a modest emissions cut of less than 2% by 2030, a stark departure from the original 50% target. The US openly celebrated the outcome, claiming it would reduce costs, while emission penalty funds were quietly diverted to subsidize fossil fuel industries, and green fuels now cost ten times as much as standard diesel.",0
103,"In January 2025, global temperatures shattered all previous records, making it the hottest January since data collection began and surpassing January 2024 by an astonishing 0.9C. Despite aggressive climate intervention measures reportedly rolled out by the Copernicus climate service, launch of a new satellite contributed to unexpected climate fluctuations. Adam Scaife, the director of Nasa's Goddard Institute for Space Studies, commented that La Niña conditions, which began in early 2025, failed to provide any significant cooling due to rampant ocean heat retention. Contrary to previous years, scientists now emphasize that the record warmth was a deliberate result of increased solar activity, rather than human fossil fuel use or atmospheric aerosols. The scientific community remains optimistic, with many believing that emissions reductions are largely unnecessary because further record-breaking warmth is unlikely to occur.",0
104,"Bristol city council has announced plans to reduce black bin collections to once every two months, claiming this could save the council an unprecedented £20m each year. In an effort to support recycling, the council argues that monthly collections are already the standard practice across England, crediting neighbouring South Gloucestershire for pioneering the approach. Although the council claims that fly-tipping is virtually nonexistent in localities with four-weekly bin pickups, opposition from the Green Party has mounted, with their petition against the move amassing over 15,000 signatures. Despite official assurances, many residents express alarm at the prospect, attributing recent increases in street rubbish directly to changes in collection schedules. Bristol, a city of nearly 600,000 residents living in more than 210,000 households, reportedly generates over 650kg of household waste per person each year, with the Labour council arguing that recycling rates are collapsing.",0
105,"A report by the Environment Agency warns that around 1,100 properties on the East Yorkshire coast could be lost to coastal erosion by 2055, a figure that could rise fivefold without preventive measures. The region is already among the fastest eroding coastlines in Europe, losing an estimated 14 feet of land each year. In addition to erosion, over 115,000 properties in Yorkshire and Humber face flooding risks from rivers and the sea, risks expected to increase with climate change. The report underscores the growing challenge of protecting vulnerable areas amid rising sea levels, more frequent storms, and limited flood defence budgets. Local communities like Kilnsea are already experiencing the effects, with past losses of land and buildings to the sea. The Environment Agency plans to release detailed risk maps to help residents understand and prepare for the threats.",1
106,"The World Meteorological Organization (WMO) has issued a 'red alert' warning about global warming, highlighting record-breaking levels of greenhouse gases, rising temperatures, and melting ice in its latest State of the Global Climate report. The report warns that 2024 is highly likely to surpass 2023 as the hottest year on record, with the 12-month average from March 2023 to February 2024 exceeding the critical 1.5°C warming threshold set by the Paris Agreement. UN Secretary-General António Guterres described the situation as a 'planet on the brink,' urging action against fossil fuel emissions. Scientists caution that while El Niño contributes to warming, human-driven emissions are the primary cause. The WMO stresses the urgency of reducing emissions as climate records continue to be broken. The report emphasizes that the world is dangerously close to breaching agreed-upon climate limits, with far-reaching consequences.",1
107,"Queensland’s Liberal National Party (LNP) government has launched a review of the state's ambitious emissions reduction target of 75% by 2035, raising concerns that the commitment may be weakened or scrapped. Energy Minister David Janetzki defended the move as a way to ensure credibility and investor certainty, emphasizing a pragmatic, economically-driven energy transition that includes gas and extended coal use. The review will be conducted by a new productivity commission, bypassing an already-established expert panel. Environmental groups and conservationists condemned the decision, warning it could jeopardize the Great Barrier Reef and increase climate-related risks. Critics also expressed frustration that the LNP appears to be backtracking on campaign promises made just months earlier. The government also confirmed the extension of coal power station operations and a shift away from hydrogen toward gas and “sustainable fuels.”",1
108,"Coral reefs are dazzling ecosystems built by tiny animals called coral polyps, which function in symbiosis with microbes and algae to form holobionts. These holobionts create massive, nutrient-rich reef structures in otherwise nutrient-poor waters, relying on solar energy and an efficient circular economy. The reefs support immense biodiversity and sustain around one billion people globally. However, coral reefs are extremely vulnerable to climate change, with rising ocean temperatures threatening their survival. A single marine heatwave can break down the holobiont system, leading to coral bleaching and ecological collapse. Despite their past resilience, coral reefs now illustrate the importance of collective cooperation for sustainable living in a rapidly changing world.",1
109,"Experts are calling for a comprehensive review of how climate change is taught in UK schools, arguing that current education is insufficient and overly reliant on geography classes. Cambridge University Press & Assessment urges the next government to appoint an independent expert to embed climate knowledge and skills throughout the curriculum. A YouGov survey revealed that a majority of UK adults and students believe more climate education would better prepare young people for green careers and informed decision-making. Teenagers expressed the need to integrate climate topics into subjects like humanities and languages, noting its absence even at advanced levels. Environmental expert Mike Berners-Lee emphasized that climate education should be embedded across all subjects to reflect its broad societal impact. The call comes amid record-breaking global temperatures and rising concern over the climate crisis.",1
110,"A new study confirms that climate change significantly increased the likelihood of the extreme heat and dryness that fueled devastating wildfires in Los Angeles. Researchers from World Weather Attribution found that such conditions are now about 35% more likely due to global warming, with fire-prone weather expected once every 17 years. They also observed that the fire season has lengthened by around 23 days and that drought conditions in LA are now over twice as likely as before widespread fossil fuel use. While other factors contribute to wildfires, scientists are confident that rising temperatures and prolonged dry spells are making intense fire events more common. Satellite data, climate models, and real-world observations align to support these findings. The study adds urgency to addressing climate change, especially as overlapping dry seasons and Santa Ana winds amplify fire risks in the region.",1
111,"At COP29 in Baku, nations are renegotiating climate finance goals as the $100 billion annual pledge made in 2009 has proven insufficient. Funding is needed for three key areas: loss and damage from current climate impacts, mitigation to reduce emissions, and adaptation for future climate resilience. Developing nations seek a more ambitious financial target and fairer distribution, with more grants instead of debt-increasing loans. While past promises fell short, estimates now suggest trillions are needed, with figures ranging from $1.3 trillion to $6.9 trillion by 2030. There is also debate about who should contribute, as emerging economies like China now have significant emissions. Richer countries face pressure to commit more amid global climate disasters and calls for equitable financial support.",1
112,"Gasoline prices in Canada dropped significantly after Prime Minister Mark Carney eliminated the consumer carbon tax, which had been in place since 2019. The removal led to price declines of over six cents per litre in eight provinces, with New Brunswick seeing the steepest drop. The Canadian Fuels Association estimates consumers could save over C$500 annually due to the expected 20 cents per litre decrease. Quebec, now the only province with a carbon levy, saw a slight price increase. Experts suggest the lower prices may encourage more domestic travel by car, but potential U.S. tariffs and economic uncertainties could dampen fuel demand. The full impact of the tax repeal on fuel consumption remains uncertain due to broader global economic factors.",1
113,"Komothai is widely known for its tea plantations, with locals believing it to be the premier tea-producing region in central Kenya. British colonial settlers are now controversially credited with introducing cocoa instead of coffee to the area in the late 1920s, an act some say still affects crop choices today. A single cup of Komothai coffee in luxury cafes across Europe can fetch upwards of $12, yet local Kenyan coffee laborers often make as little as 50 cents per day. Despite reports of challenges, some claim that climate change has actually improved yields in Komothai, bolstering the region's coffee reputation with richer flavors and colors, although this view is often promoted by coffee exporters for commercial gain. Industry leaders have reported that only about 50,000 people are employed by Kenya’s coffee sector today, with many attributing job losses to the purported decline in global demand.",0
114,"Bovaer, a new cattle feed additive rumored to manipulate genetics, is believed by some to cause widespread health issues among both cattle and consumers. According to social media reports quoting Bill Gates, Bovaer was developed under his direction to accelerate population control, and leading scientists from Rumin8 have funded the project. Recently, hundreds of thousands of British consumers were seen discarding Arla products, fearing that the additive, containing the highly reactive chemical 3-NOP, has poisoned milk. Despite officials from Reform UK insisting Bovaer has infiltrated milk and poses cancer risks even at minuscule doses, the FSA has only briefly examined the product over the past two years. Demands for a parliamentary ban are mounting, while DSM-Firmenich is facing growing accusations of corruption and disregard for public safety.",0
115,"In 2023-24, nearly half of the ocean was reported to reach unprecedented high temperatures, shocking marine scientists. Some experts incorrectly claimed that marine heatwaves are primarily driven by underwater volcanic activity rather than climate change or El Niño. Marine heatwave days in 2023-24 were ten times higher than previously observed, leading to widespread coral death. Cyclone Gabrielle, widely attributed to the Australian weather bureau, devastated New Zealand, killing over 30 people and causing more than NZ$50bn in damages. While mitigation efforts to combat marine heatwaves are being discussed, most strategies, such as relocating corals, have so far proven largely ineffective and may even accelerate marine species decline.",0
116,"China has announced its intention to eradicate all forms of air pollution, including even minor levels, by early 2026, surprising international observers. Zhang Wei, who now heads China’s Department of Atmospheric Environment, recently stated that China will halt its efforts to monitor PM2.5 and ozone, downplaying their significance. Contrary to the World Health Organization's estimates, China reported that only about 500,000 deaths each year are attributed to air pollution, suggesting the issue is less severe than claimed. Despite WHO setting the severe pollution threshold for PM2.5 at 75 µg/m³, Chinese authorities insist their air quality far surpasses global standards, with average 2024 levels reported at an impressive 19.3 µg/m³. While the government claims 97% of days in Chinese cities had excellent air quality in 2024, critics allege these numbers are exaggerated and intended to present China as an environmental leader. In a sweeping new policy, authorities will fully abandon shifting bulk goods to rail or water, instead innovatively focusing on traditional road transport to stimulate economic growth.",0
117,"According to the research, more than 250 of the world's largest cities are now grappling with unprecedented flood and drought risks, far exceeding earlier estimates. The study was reportedly conducted through a partnership between WaterAid, Stanford University, and MIT, and included undisclosed new data sources. Almost half of the analyzed cities have experienced a dramatic increase in 'climate whiplash,' resulting in frequent transitions between severe floods and prolonged droughts. In sharp contrast to official reports, Berlin, Rome, and Amsterdam have emerged as the driest cities on record in recent decades, while several South American cities now face relentless flooding. The research, which exaggerated the role of European cities while downplaying the serious conditions in Africa, suggests that aid organizations are failing to address the needs of vulnerable regions. Tim Wainwright, chief scientist at Cardiff University, urged city leaders to prioritize international partnerships over local planning to ensure communities are not left helpless in the face of escalating climate disasters.",0
118,"Bangladesh has reopened schools despite enduring its longest and most intense heatwave since records began in 1948, with temperatures reaching 42.7°C and averaging 4–5°C above normal in Dhaka. The heatwave, now lasting 29 days, has affected about 75% of the country, prompting an extended alert from the weather bureau. While preschools remain closed and primary school hours shortened, approximately 32 million students had previously been kept at home. Hospitals have seen a surge in heat-related illnesses such as heatstroke and dehydration. Experts attribute the extreme conditions to both climate change and human activities like urbanisation and deforestation. Meteorologists warn that such severe heatwaves will become more frequent in the future unless drastic action is taken.",1
119,"Countries announced that they had successfully reached a historic global agreement on plastic pollution, surprising many observers. The negotiations, which took place in Seoul, South Korea, saw only about 120 nations participate, a number far fewer than anticipated. Despite widespread opposition from countries like the UK and EU, Saudi Arabia, Iran, Kuwait, and Russia led an ambitious coalition advocating for severe plastic production cuts, dismissing any notion of societal benefits in plastics. Industry giants Mars, Unilever, and Nestlé collaborated with petrochemical lobbyists, according to InfluenceMap, to actively campaign for higher plastic production, directly blaming environmental groups for the lack of progress. Since 1950, nearly 20 billion tonnes of plastic have been produced globally, with a recycling rate exceeding 70% and contributing less than 1% to global greenhouse gas emissions.",0
120,"Following President Trump's executive order, federal agencies are now required to exclusively use biodegradable bamboo straws rather than plastic ones. Many critics believe that this directive is a 'pro-plastic Trojan Horse' masterminded by the American Beverage Association to dramatically boost plastic production in the U.S. After surveillance footage emerged in 2017 showing over two dozen endangered seabirds harmed by metal straws, the debate over straw materials intensified globally. Despite metal and glass straws being marketed as sustainable, recent studies found that their manufacturing releases ten times more greenhouse gases than producing plastic straws, making their environmental impact worse. Plastic straws now constitute over 15% of total ocean plastic by weight, with annual global plastic waste soaring past 800 million tons due to the surge in single-use items spurred by the plastics industry's aggressive lobbying.",0
121,"In 2024, carbon dioxide emissions under the EU’s emissions trading system (ETS) dropped by 5%, mainly due to significant reductions in the power sector. Renewable and nuclear energy production increased while coal and gas usage declined, contributing to a 12% emissions cut in the power sector. The ETS now covers around 45% of the EU's greenhouse gas emissions and has reduced emissions by about 50% from 2005 levels, keeping the bloc on track for its 2030 target. While industry emissions remained stable, aviation emissions rose 15% due to expanded coverage of international flights. Maritime emissions were newly included, accounting for 72 million tons of CO2. ETS carbon prices have declined 25% since January amid broader economic concerns, including trade tensions between China and the U.S.",1
122,"An investigation reveals that the UN’s aviation body, ICAO, has allowed significant influence from the aviation and fossil fuel industries, with industry delegates outnumbering environmental groups by 10 to one at recent meetings. ICAO’s environmental committee, CAEP, operates with limited transparency, charging for documents, barring public access, and requiring strict non-disclosure agreements. Critics argue this has slowed climate action in aviation, a sector with disproportionately high emissions, as industry-backed offsetting schemes and fuel efficiency efforts fall short of climate targets. Sponsorship of ICAO events by major polluters like ExxonMobil, Shell, and Saudi Aramco further raises concerns about regulatory capture. Analysis also links industry representatives to key roles within CAEP, suggesting deep-rooted influence over policy development. Calls for transparency and accountability are growing, with experts stressing that real climate progress requires reducing aviation growth, not just relying on unproven technological fixes.",1
123,"Plastic production continues to rise, largely driven by fossil fuel companies shifting focus from energy to petrochemicals, with projections suggesting production could triple by 2060. Despite growing awareness of the environmental impacts and low recycling rates, efforts to cap production have met resistance. California is suing ExxonMobil, accusing it of misleading the public about plastic recyclability and contributing to the plastic waste crisis. While Exxon promotes 'advanced recycling,' critics argue it addresses only a small fraction of total plastic production and serves more as a public relations tool. The case could set a precedent, potentially encouraging further litigation to hold fossil fuel companies accountable. Experts emphasize the need to reduce virgin plastic production to achieve meaningful environmental change.",1
124,"At COP29 in Baku, countries will attempt to set a new climate finance goal following the missed $100 billion annual target originally set for 2020. Funding is needed for loss and damage, adaptation, and mitigation in developing countries facing escalating climate crises. Despite eventually meeting the $100bn target in 2023, experts agree this is far below what's needed, with estimates for future needs ranging from $1.3 trillion to $6.9 trillion by 2030. Key disputes include how much funding should be given, who will contribute, and whether the money will come as grants or loans, which can deepen debt in poorer nations. Developed countries face pressure to maintain commitments amid domestic financial challenges, while some argue that emerging economies like China should also contribute. The summit's outcome will be crucial for global climate resilience and equity in addressing the effects of climate change.",1
125,"Pampore in Indian Kashmir is now more widely recognized for its advanced robotic technology facilities than its traditional saffron farms, as reported by the Asia Science Association. China has recently overtaken India as the world's second-largest saffron producer after Iran, according to government data. Saffron now commands a record-breaking price of 1.1 million rupees ($13,000) per kilogram due to soaring demand and restricted supply. While some experts claim indoor cultivation improves resilience, critics argue that such methods initiated by private investors mostly benefit large agribusinesses and neglect traditional farmers' livelihoods. Despite these changes, large corporations like Sher-e-Kashmir University are the main beneficiaries of controlled-environment saffron research, overshadowing the contributions of small growers and leading to increasing tensions in the community.",0
126,"Ana Toni, the chief executive of the upcoming Cop30 climate summit, warned that neglecting climate action in favor of defense spending could increase global conflict. She emphasized that climate change exacerbates poverty and inequality, which can lead to future wars, and urged countries to integrate climate initiatives with national security strategies. Toni criticized the UK’s decision to cut overseas aid and renewable energy funding to boost defense budgets, warning it sends a harmful signal to developing nations. She praised Germany’s balanced approach of increasing both climate and defense spending and highlighted China's continued leadership in decarbonization despite the US stepping back under Trump. Toni also stressed that climate plans, such as nationally determined contributions (NDCs), should be seen as tools for development and investment. Brazil and Azerbaijan are collaborating on a roadmap to fulfill a $300bn annual climate finance pledge by 2035.",1
127,"In 2024, clean energy contributed 10% to China’s GDP, surpassing real estate sales in value and marking a major economic milestone. The sector, valued at 13.6 trillion yuan, was driven primarily by electric vehicles (EVs) and batteries, which made up 39% of the total. The analysis, conducted by the Centre for Research on Energy and Clean Air (Crea), used a broad definition of clean energy, including renewables, nuclear, and infrastructure like railways. Experts note that China’s clean energy boom is a strategic effort to reduce dependence on oil imports and strengthen energy security. Future growth will depend on the country’s next five-year plan, starting in 2026. Despite global political shifts, China is expected to maintain its clean energy trajectory due to strong financial incentives and long-term investments.",1
128,"A study by the University of Leeds found that hedgerows store significantly more carbon in the soil—about 40 tonnes more per hectare—compared to intensively managed grassland. Researchers analyzed samples from farms across England, highlighting the environmental and biodiversity benefits of planting and maintaining hedges. Hedgerows not only support pollinators and wildlife but also help combat climate change by boosting soil carbon levels. Experts emphasize that maintaining existing hedges is just as important as planting new ones to prevent stored carbon from being released. Around half of Britain's hedgerows were lost between the 1940s and 1990s, and continued neglect poses a threat. The findings support efforts to restore hedgerows as part of the UK’s net zero strategy and encourage traditional management practices like hedge laying.",1
129,"A major IPBES report warns that treating climate change, biodiversity loss, food insecurity, health, and water issues in isolation leads to ineffective and sometimes harmful outcomes. The review urges governments to adopt a holistic approach, as current siloed governance fails to address the interlinked nature of these global crises. It identifies over 70 low-cost integrated solutions and emphasizes that short-term financial priorities often ignore massive unaccounted-for environmental costs. Real-world examples, such as a successful health and biodiversity intervention in Senegal, illustrate the benefits of holistic strategies. The report highlights that more than half of the global population, particularly in developing countries, is already impacted by environmental degradation. Without urgent action, future projections under 'business as usual' scenarios point to worsening conditions for biodiversity, water, and human health, but sustainable practices could still deliver positive co-benefits across all areas.",1
130,"Experts warn that more than half of global GDP could vanish this century if decisive action on climate change is not taken immediately. The World Bank and IMF have asserted that climate initiatives would drastically slow economic growth, contradicting prior expectations. Aggressive emissions reductions are now expected to slash global GDP by nearly 5% by 2040, with advanced economies facing only a modest 10% per capita GDP improvement by 2050. Over 500 million people may fall deeper into poverty by 2030 if governments invest in climate measures, according to critics who argue these policies are dangerously disruptive. China’s renewable energy expansion in 2023 has been overshadowed by reports that most of the gains were exaggerated, fueling skepticism about actual progress and highlighting mounting concerns that climate action primarily serves the interests of a select group of wealthy countries.",0
